topic_x,title,summary
3,Howard denies split over ID cards,"""It is important to remember that this bill will take a decade to come into full effect,"" a spokesman said."
3,Lib Dems stress Budget trust gap,"He argued: ""There are serious challenges ahead from the falling dollar and from the rapid downturn in the UK housing market and rising personal debt."
3,Ailing EuroDisney vows turnaround,"The US Disney Corporation and Saudi Arabian prince Al-Walid bin Talal, the firm's two main shareholders, will buy the new stock."
3,Ailing EuroDisney vows turnaround,"EuroDisney remains Europe's largest single tourist attraction, attracting some 12.4 million visitors annually."
3,Camera phones are 'must-haves',"Globally, the number sold will reach 159 million, an increase of 104%."
3,Cars pull down US retail figures,"Sales at clothing and clothing accessory stores jumped 1.8%, while sales at general merchandise stores, a category that includes department stores, rose by 0.9%."
3,Cars pull down US retail figures," US retail sales fell 0.3% in January, the biggest monthly decline since last August, driven down by a heavy fall in car sales."
4,Wenger rules out new keeper,Wenger has brought in Manuel Almunia for the last three games for the out-of-form Jens Lehmann - but the Spaniard himself has been prone to mistakes.
4,Wenger rules out new keeper,"Everyone has an opinion and I do not have to add to it,"" Wenger added."
4,Trial begins of Spain's top banker,"However, the trial was suspended when Mr Botin's lawyer introduced a new set of documents on the day testimony was set to begin."
4,Fit-again Betsen in France squad,Laporte is expected to announce France's starting line-up on Wednesday.
4,Fit-again Betsen in France squad,"""Serge has a good case so we are confident he will play,"" said France coach Bernard Laporte."
4,Trial begins of Spain's top banker,Mr Botin is accused of misusing the bank's funds after he approved the payment of 160m euros ($208m; £111m) in bonus and pension payouts to two former executives.
4,Trial begins of Spain's top banker,"Since taking over the chairmanship in 1986, he has turned Santander into one of the top ten biggest banks in the world."
4,Wenger rules out new keeper,"Arsenal have been linked with Middlesbrough keeper Mark Schwarzer, Fulham's Edwin van der Sar and Parma's Sebastien Frey."
4,Fit-again Betsen in France squad,"The inexperienced Nicolas Mas, Jimmy Marlu and Jean-Philippe Grandclaude are also included in a 22-man squad."
5,Web radio takes Spanish rap global,"""You can't really just go on the radio and listen to hip-hop in Spanish... it's just not accessible,"" says Manuel Millan, a native of San Diego, California."
5,Web radio takes Spanish rap global,"But most Mexican hip-hop fans, not to mention fans in most of the Spanish-speaking world, rarely get a chance to hear the group's tracks on the radio."
5,Web radio takes Spanish rap global,But what you will not find is much Spanish-language hip-hop.
6,Fresh hope after Argentine crisis," Three years after Argentina was hit by a deadly economic crisis, there is fresh hope."
6,Fresh hope after Argentine crisis,"Argentina's current offer implies that the creditors would get just 25 cents for each dollar they are owed, according to the creditors."
6,Fresh hope after Argentine crisis,"""The Argentine authorities are proud, should be proud, of the strong performance of the economy,"" Thomas Dawson, an IMF director, said earlier this month."
6,Fresh hope after Argentine crisis,Debt defaults make further lending agreements both difficult and expensive to negotiate.
6,Tsunami 'to hit Sri Lanka banks',"According to its estimate, as much as 13.6% of the loans made by private banks to clients in the disaster zone has been written off or damaged."
6,Tsunami 'to hit Sri Lanka banks'," Sri Lanka's banks face hard times following December's tsunami disaster, officials have warned."
7,Camera phones are 'must-haves',"Intel, Samsung, the UK's Foreign Office and Lawrence Livermore National Laboratories in the US, have decided to ban camera phones from their buildings for fear of sensitive information being snapped and leaked."
7,Camera phones are 'must-haves',"By 2008, according to Gartner, 95% of all mobiles sold there will have cameras on them."
7,Camera phones are 'must-haves',Images from camera phones have even made it into the art world.
8,Souness delight at Euro progress,"""Obviously with winning in the first leg it gave us a great advantage,"" he said after the 4-2 aggregate victory."
8,Cars pull down US retail figures,"""We are not seeing the numbers that we saw in the second half of 2004, but they are still pretty healthy,"" he added."
8,Souness delight at Euro progress,"""He struck the ball very well - he always has done - and I think it was the power and pace that beat the goalkeeper."""
9,Iran jails blogger for 14 years,"""The eyes of 8 million bloggers are going to be more focused on Iran since Sigarchi's sentence, not less."
9,Iran jails blogger for 14 years,Iranian authorities have arrested about 20 online journalists during the current crackdown.
9,Iran jails blogger for 14 years,"About 12% of users were based in Iran, the campaign's director told the BBC News website."
10,Apple iPod family expands market,"According to Mr McGuire, research suggests that people like the idea of building up huge libraries of music, which they can do with high-capacity storage devices, like iPods and Creative Zens."
10,Apple iPod family expands market, Apple has expanded its iPod family with the release of its next generation of the digital music players.
10,Apple iPod family expands market,Mr McGuire said Apple was ensuring it kept a foot in the mobile music door with its recent deal with Motorola to produce a version of iTunes for Motorola phones.
11,E-University 'disgraceful waste'," A failed government scheme to offer UK university courses online has been branded a ""disgraceful waste"" by MPs."
11,E-University 'disgraceful waste',"A Department for Education and Skills spokeswoman said the venture had been ""ambitious and ground-breaking, but take-up had not been ""sufficient to continue with the project""."
11,E-University 'disgraceful waste',"She added: ""UK e-Universities was not the only organisation to have lost out on private sector investment in the collapse of the dotcom boom."""
12,Jowell confirms casino climbdown,"""There was never going to be a massive explosion of casinos."
12,Jowell confirms casino climbdown,"It puts an end to plans for up to 40 super casinos, originally outlined in the government's Gambling Bill."
12,Jowell confirms casino climbdown,Church groups welcomed the limit on the number of casinos.
13,Global digital divide 'narrowing',But a spokesman for the UN's World Summit on the Information Society said the digital divide remained very real.
13,Global digital divide 'narrowing',"A spokesman for the World Summit for the Information Society (WSIS), which is meeting this week in Geneva, told the BBC News website: ""The digital divide is very much real and needs to be addressed."
13,Global digital divide 'narrowing',The World Bank questioned a United Nation's campaign to increase usage and access to technology in poorer nations.
14,Chinese exports rise 25% in 2004,"With imports rising a similar amount, the deficit rose to $43.4bn."
14,Chinese exports rise 25% in 2004,"According to the Ministry of Commerce, China's exports totalled $63.8bn in December, taking the annual total up 35.4% to $593.4bn."
14,Chinese exports rise 25% in 2004,"The US's overall trade deficit with China was $124bn in 2003, and is expected to rise to about $150bn for 2004."
15,Standard Life cuts policy bonuses,Standard Life came in for criticism for sticking with stock market investments during 2001 and 2002.
15,Standard Life cuts policy bonuses,"It is the sixth time in three years Standard Life has made cuts to bonus rates, despite an 8.7% rise in the value of the with-profits fund in 2004."
15,Standard Life cuts policy bonuses,The insurer blamed the cuts on poor share returns and low interest rates.
