title,sentences,num_words
Camera phones are 'must-haves',"Intel, Samsung, the UK's Foreign Office and Lawrence Livermore National Laboratories in the US, have decided to ban camera phones from their buildings for fear of sensitive information being snapped and leaked.",32
Camera phones are 'must-haves',"Many schools, fitness centres and local councils have also banned them over fears about privacy and misuse.",17
Camera phones are 'must-haves',Italy's information commissioner has also voiced concern and has issued guidelines on where and how the phones can be used.,20
Camera phones are 'must-haves',But camera phone fears have not dampened the manufacturers' profits.,10
Camera phones are 'must-haves',"According to recent figures, Sony Ericsson's profits tripled in the third-quarter because of new camera phones.",16
Camera phones are 'must-haves',"Over 60% of mobiles sold during the three months through to September featured integrated cameras, it said.",16
US top of supercomputing charts, The US has pushed Japan off the top of the supercomputing chart with IBM's prototype Blue Gene/L machine.,18
US top of supercomputing charts,"It is being assembled for the Lawrence Livermore National Laboratory, under the US Department of Energy.",16
US top of supercomputing charts,IBM test results show that Blue Gene/L has managed speeds of 70.72 teraflops.,12
US top of supercomputing charts,"The previous top machine, Japan's NEC Earth Simulator, clocked up 35.86.",10
US top of supercomputing charts,The Top 500 list was announced on Monday and officially charts the fastest computers in the world.,16
US top of supercomputing charts,It is announced every six months and is worked out using an officially recognised mathematical speed test called Linpack which measures calculations per second.,24
US top of supercomputing charts,"Once completed in 2005, Blue Gene/L will be more powerful than its current prototype.",13
US top of supercomputing charts,"""Next year with the final Blue Gene, four times what it is this year, it is going to be a real step up and will be hard to beat,"" said Erich Strohmaier, one of the co-founders of the Top500 list.",40
US top of supercomputing charts,"It will help scientists work out the safety, security and reliability requirements for the US's nuclear weapons stockpile, without the need for underground nuclear testing.",25
US top of supercomputing charts,"It will also cut down on the amount of heat generated by the massive power, a big problem for supercomputers.",20
US top of supercomputing charts,In second place was Silicon Graphics' Columbia supercomputer based at the US space agency's (Nasa) Ames Research Center in California.,20
US top of supercomputing charts,The Linux-based machine was reported to have reached a top speed of 42.7 trillion calculations per second (teraflops) in October.,19
US top of supercomputing charts,"It will be used to model flight missions, climate research, and aerospace engineering.",13
US top of supercomputing charts,"The defeated Japanese contender, the Earth Simulator, which was listed in third place, losing the top spot it had held since June 2002.",22
US top of supercomputing charts,It is dedicated to climate modelling and simulating seismic activity.,10
US top of supercomputing charts,"Since the first supercomputer, the Cray-1, was installed at Los Alamos National Laboratory, US, in 1976, computational speed has leaped 500,000 times.",20
US top of supercomputing charts,The Cray-1 was capable of 80 megaflops (80 million operations a second).,10
US top of supercomputing charts,The Blue Gene/L machine that will be completed next year will be five million times faster.,16
US top of supercomputing charts,"Started in 1993, the Top 500 list is decided by a group of computer science academics from around the world.",18
US top of supercomputing charts,It is presented at the International Supercomputer Conference in Pittsburgh.,10
Trial begins of Spain's top banker," The trial of Emilio Botin, the chairman of Spain's most powerful bank, Santander Central Hispano, has started in Madrid.",19
Trial begins of Spain's top banker,Mr Botin is accused of misusing the bank's funds after he approved the payment of 160m euros ($208m; £111m) in bonus and pension payouts to two former executives.,28
Trial begins of Spain's top banker,"However, the trial was suspended when Mr Botin's lawyer introduced a new set of documents on the day testimony was set to begin.",23
Trial begins of Spain's top banker,"A three-judge panel gave prosecution lawyers until Monday to study the documents, when the trial will be reconvened.",18
Trial begins of Spain's top banker,"The high-profile case began after two Santander shareholders filed a criminal complaint about the payments to Jose Maria Amusategui and Angel Corcostegui, who stepped down in 2001.",26
Trial begins of Spain's top banker,"Both executives helped Mr Botin orchestrate Spain's biggest bank merger, between Santander and Banco Central Hispano, in 1999.",17
Trial begins of Spain's top banker,"As he arrived at Spain's High Court earlier on Wednesday, Mr Botin greeted the waiting media, saying: ""I have full faith in justice.""",23
Trial begins of Spain's top banker,"Santander's board of governors strongly reject the charges against their chairman, saying the payouts were legal and made with their unanimous support.",22
Trial begins of Spain's top banker,"But if convicted, Mr Botin could face a prison term of up to six years.",15
Trial begins of Spain's top banker,"Mr Corcostegui, a former CEO at Santander, also asked the court for new evidence to be admitted.",17
Trial begins of Spain's top banker,"In spite of the allegations against him, Mr Botin continues to lead Santander, and was instrumental in the £8.5bn takeover last November of the British bank Abbey National.",28
Trial begins of Spain's top banker,"Since taking over the chairmanship in 1986, he has turned Santander into one of the top ten biggest banks in the world.",21
Safety alert as GM recalls cars," The world's biggest carmaker General Motors (GM) is recalling nearly 200,000 vehicles in the US on safety grounds, according to federal regulators.",21
Safety alert as GM recalls cars,"The National Highway Traffic Safety Administration (NHTSA) said the largest recall involves 155,465 pickups, vans and sports utility vehicles (SUVs).",19
Safety alert as GM recalls cars,This is because of possible malfunctions with the braking systems.,10
Safety alert as GM recalls cars,"The affected vehicles in the product recall are from the 2004 and 2005 model years, GM said.",15
Safety alert as GM recalls cars,"Those vehicles with potential faults are the Chevrolet Avalanche, Express, Kodiak, Silverade and Suburban; the GMC Savana, Sierra and Yukon.",20
Safety alert as GM recalls cars,The NHTSA said a pressure accumulator in the braking system could crack during normal driving and fragments could injure people if the hood was open.,25
Safety alert as GM recalls cars,"This could allow hydraulic fluid to leak, which could make it harder to brake or steer and could cause a crash, it warned.",23
Safety alert as GM recalls cars,"GM is also recalling 19,924 Cadillac XLR coupes, SRX SUVs and Pontiac Grand Prix sedans from the 2004 model year.",18
Safety alert as GM recalls cars,"This is because the accelerator pedal may not work properly in extremely cold temperatures, requiring more braking.",17
Safety alert as GM recalls cars,"In addition, the car giant is calling back 17,815 Buick Raniers, Chevrolet Trailblazers, GMC Envoys and Isuzu Ascenders from the 2005 model years because the windshield is not properly fitted and could fall out in a crash.",35
Safety alert as GM recalls cars,"However, GM stressed that it did not know of any injuries related to the problems.",15
Safety alert as GM recalls cars,News of the recall follows an announcement last month that GM expects earnings this year be lower than in 2004.,19
Safety alert as GM recalls cars,"The world's biggest car maker is grappling with losses in its European business, weak US sales and now a product recall.",21
Safety alert as GM recalls cars,"In January, GM said higher healthcare costs in North America, and lower profits at its financial services subsidiary would hurt its performance in 2005.",23
Angry Williams rejects criticism, Serena Williams has angrily rejected claims that she and sister Venus are a declining force in tennis.,17
Angry Williams rejects criticism,The sisters ended last year without a Grand Slam title for the first time since 1998.,15
Angry Williams rejects criticism,"But Serena denied their challenge was fading, saying: ""That's not fair - I'm tired of not saying anything.",17
Angry Williams rejects criticism,"""We've been practising hard.",4
Angry Williams rejects criticism,We've had serious injuries.,4
Angry Williams rejects criticism,"I've had surgery and after, I got to the Wimbledon final.",11
Angry Williams rejects criticism,"I don't know many who have done that.""",8
Angry Williams rejects criticism,"While Serena is through to the Australian Open semi-finals, Venus went out in the fourth round, meaning she has not gone further than the last eight in her last five Grand Slam appearances.",33
Angry Williams rejects criticism,"But Serena added: ""Venus had a severe strain in her stomach.",11
Angry Williams rejects criticism,"I actually had the same injury, but I didn't tear it the way she did.",15
Angry Williams rejects criticism,"""If I would have torn it, I wouldn't have been here.",11
Angry Williams rejects criticism,"""She played a player (Alicia Molik) that just played out of her mind and Venus made some errors that she probably shouldn't have made.""",24
Angry Williams rejects criticism,Serena also said people tended to forget the impact the 2003 murder of sister Yetunde Price had had on the family.,20
Angry Williams rejects criticism,"""To top it off, we have a very, very, very, very, very close family"" Serena continued.",16
Angry Williams rejects criticism,"""To be in some situation that we've been placed in in the past little over a year, it's not easy to come out and just perform at your best when you realize there are so many things that are so important.",41
Angry Williams rejects criticism,"""So, no, we're not declining.",5
Angry Williams rejects criticism,We're here.,2
Angry Williams rejects criticism,I don't have to win this tournament to prove anything.,10
Angry Williams rejects criticism,"I know that I'm out here and I know that I'm one of the best players out here.""",18
E-University 'disgraceful waste'," A failed government scheme to offer UK university courses online has been branded a ""disgraceful waste"" by MPs.",18
E-University 'disgraceful waste',"The e-University was scrapped last year, having attracted only 900 students at a cost of £50m.",15
E-University 'disgraceful waste',"Chief executive John Beaumont was paid a bonus of £44,914, despite a failure to bring in private sector backers.",18
E-University 'disgraceful waste',"The Commons education select committee called this ""morally indefensible"" but the government said the e-University project had ""improved understanding"".",19
E-University 'disgraceful waste',"A Department for Education and Skills spokeswoman said the venture had been ""ambitious and ground-breaking, but take-up had not been ""sufficient to continue with the project"".",26
E-University 'disgraceful waste',"She added: ""UK e-Universities was not the only organisation to have lost out on private sector investment in the collapse of the dotcom boom.""",24
E-University 'disgraceful waste',"The select committee found that those responsible for founding the e-University in 2000 had been caught up in the ""general atmosphere of enthusiasm"" surrounding the internet.",25
E-University 'disgraceful waste',"Initial business plans forecast a quarter of a million students joining within a decade, bringing in at least £110m in profit.",21
E-University 'disgraceful waste',But virtually no market research was carried out and just £4.2m was spent on worldwide sales and marketing of courses.,20
E-University 'disgraceful waste',Some £14m went on developing the technology to make the e-University work.,12
E-University 'disgraceful waste',"This was used by just 200 students, the rest preferring to work through existing university websites.",15
E-University 'disgraceful waste',"With no significant private investors and no direct accountability to a government minister, the e-University had had ""too much freedom to spend public money as it wished"", the report found.",30
E-University 'disgraceful waste',"Committee chairman Barry Sheerman said: ""UK e-University was a terrible waste of public money.",14
E-University 'disgraceful waste',"""The senior executives failed to interest any private investors and showed an extraordinary over-confidence in their ability to attract students to the scheme.""",23
E-University 'disgraceful waste',"The report warns that the government should not be scared off investment in innovative but potentially risky schemes by the failure of the e-University, but ""should learn the lessons from this disaster"".",32
India to deport Bollywood actress, India has ordered the deportation of Iranian-born model and actress Negar Khan to Norway after saying she was working illegally on her visa.,23
India to deport Bollywood actress,Khan has had raunchy roles in music videos and Bollywood films over the past two years.,16
India to deport Bollywood actress,The distressed actress told media she was being driven straight to the airport after a routine appointment at the Bombay immigration office.,22
India to deport Bollywood actress,Immigration officials said she had been warned about her visa last year.,12
India to deport Bollywood actress,"Khan told an Indian news channel on her mobile phone: ""They are not even letting me go home to get my bags.",22
India to deport Bollywood actress,I have no clothes or money on me.,8
India to deport Bollywood actress,"""They did not give me any notice.",7
India to deport Bollywood actress,I don't know why they are taking me away like this.,11
India to deport Bollywood actress,There is nothing wrong with my visa.,7
India to deport Bollywood actress,It says I work here...,5
India to deport Bollywood actress,"They are not allowing me to even call a lawyer.""",10
India to deport Bollywood actress,"Bipin Bihari, deputy police chief in Bombay, said Khan was being sent back to Norway, from which she holds a passport, on the first available flight.",26
India to deport Bollywood actress,"""She was on a visitor's visa but she has engaged in several commercial ventures,"" he said.",16
India to deport Bollywood actress,"""We issued notices last year, in view of which she had gone back to Norway, but she has returned again this year to work.""",24
India to deport Bollywood actress,One of Khan's biggest successes was the steamy Hindi song Chadti Jawani (Rising Youth).,14
India to deport Bollywood actress,Khan was involved in controversy when topless photos alleged to be of her appeared in a Norwegian magazine.,18
Web radio takes Spanish rap global, Spin the radio dial in the US and you are likely to find plenty of Spanish-language music.,17
Web radio takes Spanish rap global,But what you will not find is much Spanish-language hip-hop.,10
Web radio takes Spanish rap global,"Hip-hop and rap are actually quite popular in the Spanish-speaking world, but local artists are having trouble marketing their work abroad.",21
Web radio takes Spanish rap global,"But now, a US company is bringing rap and hip-hop en espanol to computer users everywhere.",16
Web radio takes Spanish rap global,Los Caballeros de Plan G are one of Mexico's hottest hip-hop acts.,12
Web radio takes Spanish rap global,They have a devoted fan base in their native Monterrey.,10
Web radio takes Spanish rap global,"But most Mexican hip-hop fans, not to mention fans in most of the Spanish-speaking world, rarely get a chance to hear the group's tracks on the radio.",27
Web radio takes Spanish rap global,"""You can't really just go on the radio and listen to hip-hop in Spanish... it's just not accessible,"" says Manuel Millan, a native of San Diego, California.",27
Web radio takes Spanish rap global,"""It's really hard for the Spanish hip-hop scene to get into mainstream radio.",13
Web radio takes Spanish rap global,"You usually have a very commercialised sound and the groups are not really known around the country or around the world.""",21
Web radio takes Spanish rap global,Millan and two friends set out to change that - they wanted to make groups like Los Caballeros de Plan G accessible to fans globally.,24
Web radio takes Spanish rap global,"Mainstream radio stations were not going to play this kind of music, and starting their own broadcast station was economically impossible.",21
Web radio takes Spanish rap global,"So, Millan and his friends launched a website called latinohiphopradio.com.",10
Web radio takes Spanish rap global,"The name says it all: it is web-based radio, devoted to the hottest Spanish language rap and hip-hop tracks.",19
Web radio takes Spanish rap global,"The site, which is in both in English and Spanish, is meant to be easy to navigate.",17
Web radio takes Spanish rap global,All the user has to do is download a media player.,11
Web radio takes Spanish rap global,There are no DJs.,4
Web radio takes Spanish rap global,It is just music streamed over the net for free.,10
Web radio takes Spanish rap global,"Suddenly, with the help of the website, Los Caballeros de Plan G are producing ""export quality"" rap.",17
Web radio takes Spanish rap global,The web might be just the right medium for Spanish language hip-hop right now.,14
Web radio takes Spanish rap global,"The genre is in what Millan calls its ""infant stage"".",10
Web radio takes Spanish rap global,"But the production values are improving, and artists such as Argentina's Mustafa Yoda are pushing to make it better and better.",21
Web radio takes Spanish rap global,Mustafa Yoda is currently one of the hottest tracks on latinohiphopradio.com.,11
Web radio takes Spanish rap global,"""He's considered the Eminem of Argentina, and the Latin American hip-hop scene,"" Millan says.",14
Web radio takes Spanish rap global,"""He really hasn't had that much exposure as far as anywhere in the world, but he's definitely the one to look out for as far as becoming the next big thing in the Spanish-speaking world.""",35
Web radio takes Spanish rap global,"Currently, the Chilean group Makisa is also in latinohiphopradio.com's top 10, as is Cuban artist Papo Record.",16
Web radio takes Spanish rap global,"""Every country's got it's own cultural differences and they try to put those into their own songs,"" Millan says.",19
Web radio takes Spanish rap global,Latinohiphopradio.com has been up and running for a couple of months now.,12
Web radio takes Spanish rap global,The site has listeners from across the Spanish speaking world.,10
Web radio takes Spanish rap global,"Right now, Mexico leads the way, accounting for about 50% of listeners.",11
Web radio takes Spanish rap global,But web surfers in Spain are logging in as well - about 25% of the web station's traffic comes from there.,19
Web radio takes Spanish rap global,That is not surprising as many consider Spain to be the leader in Spanish-language rap and hip-hop.,17
Web radio takes Spanish rap global,Millan says that Spain is actually just behind the United States and France in terms of overall rap and hip-hop production.,21
Web radio takes Spanish rap global,"That might be changing, though, as more and more Latin American artists are finding audiences.",15
Web radio takes Spanish rap global,But one Spaniard is still firmly in latinohiphopradio.com's top 10.,9
Web radio takes Spanish rap global,His name is Tote King and Manuel Millan says that he is the hip-hop leader in Spain.,17
Web radio takes Spanish rap global,"On his track Uno Contra Veinte Emcees, or One Against 20 Emcees, Tote King shows he is well aware of that fact.",21
Web radio takes Spanish rap global,"""It's basically him bragging that he's one of the best emcees in Spain right now,"" Millan says.",17
Web radio takes Spanish rap global,"""And it's pretty much true.",5
Web radio takes Spanish rap global,"He has the tightest productions, and his rap flow is impeccable, it's amazing.""",13
Web radio takes Spanish rap global,Latinohiphopradio.com is hoping to expand in the coming year.,9
Web radio takes Spanish rap global,Millan says they want to include more music and more news from the world of Spanish language hip-hop and rap.,20
Web radio takes Spanish rap global,"Clark Boyd is technology correspondent for The World, a BBC World Service and WGBH-Boston co-production.",15
Ailing EuroDisney vows turnaround," EuroDisney, the European home of Mickey Mouse and friends, has said it will sell 253m euros (£175m; $328m) of new shares as it looks to avoid insolvency.",27
Ailing EuroDisney vows turnaround,The sale is the last part of a plan to restructure 2.4bn euros-worth of debts.,15
Ailing EuroDisney vows turnaround,"Despite struggling since it was opened in 1992, EuroDisney has recently made progress in turning its business around and ticket sales have picked up.",23
Ailing EuroDisney vows turnaround,"However, analysts still question whether it attracts enough visitors to stay open, even with the restructuring.",16
Ailing EuroDisney vows turnaround,"EuroDisney remains Europe's largest single tourist attraction, attracting some 12.4 million visitors annually.",12
Ailing EuroDisney vows turnaround,A new attraction - Walt Disney Studios - has recently opened its site near Paris.,13
Ailing EuroDisney vows turnaround,"The company's currently traded stock tumbled in Paris on the latest news, shedding 15% to 22 euro cents.",16
Ailing EuroDisney vows turnaround,EuroDisney will sell the new shares priced at 9 euros cents each.,11
Ailing EuroDisney vows turnaround,"The US Disney Corporation and Saudi Arabian prince Al-Walid bin Talal, the firm's two main shareholders, will buy the new stock.",21
Ailing EuroDisney vows turnaround,The restructuring deal is the second in the firm's troubled financial history; its finances were first reorganised in 1994.,18
Eminem beats Elvis to number one," Rapper Eminem has denied Elvis his fourth number one of the year, after his song, Like Toy Soldiers, stormed to the top of the singles charts.",26
Eminem beats Elvis to number one,"The track claimed the top spot ahead of The King's latest re-release, Are You Lonesome Tonight.",16
Eminem beats Elvis to number one,It is the fifth in a series of 18 reissues to mark the 70th anniversary of Presley's birth.,17
Eminem beats Elvis to number one,"Almost Here, the duet from former Westlife star Brian McFadden and Delta Goodrem, went in at number three.",18
Eminem beats Elvis to number one,"Like Toy Soldiers, from Eminem's Encore album, is sampled from Martika's 1980s hit Toy Soldiers.",15
Eminem beats Elvis to number one,It takes a swipe at hip-hop feuds and follows the success of Just Lose It.,15
Eminem beats Elvis to number one,"Last week's number one, Elvis's It's Now or Never, slipped 13 places to number 14, but all five of his re-released songs are in the Top 40.",24
Eminem beats Elvis to number one,"One World Project Tsunami fundraiser, Grief Never Grows Old, slipped four places to number eight.",15
Eminem beats Elvis to number one,"Featuring Cliff Richard and Boy George, the song was written by former DJ Mike Read.",15
Eminem beats Elvis to number one,"In the album charts, Athlete's latest offering Tourist claimed the top spot, toppling the Chemical Brother's Push The Button Down, which fell to number six.",25
Rapper 50 Cent ends protege feud, Rapper 50 Cent has ended his public feud with his protege The Game as the pair said they wanted to be good role models for their communities.,26
Rapper 50 Cent ends protege feud,The row blew up when 50 Cent threw The Game out of his G-Unit crew and accused him of being disloyal.,20
Rapper 50 Cent ends protege feud,A member of The Game's entourage was reportedly shot outside a radio station where 50 Cent was being interviewed.,18
Rapper 50 Cent ends protege feud,But the pair shook hands as they handed over money to music projects for New York's deprived areas on Wednesday.,20
Rapper 50 Cent ends protege feud,"The Game, whose real name is Jayceon Taylor, told a news conference: ""I want to apologise.",16
Rapper 50 Cent ends protege feud,"I'm almost ashamed to have participated in the things that went on over the last few weeks.""",17
Rapper 50 Cent ends protege feud,"Chart-topper 50 Cent, real name Curtis Jackson, said the truce came on the anniversary of the death of the Notorious BIG in 1997, who was part of a volatile feud between the east and west coast rap scenes.",36
Rapper 50 Cent ends protege feud,"""We're here today to show that people can rise above the most difficult circumstances and together we can put negativity behind us,"" 50 Cent said.",24
Rapper 50 Cent ends protege feud,"""A lot of people don't want to see it happen, but we're responding to the two most important groups - our family and our fans.""",24
Rapper 50 Cent ends protege feud,"The Boys Choir of Harlem got a cheque for $150,000 (£77,800) from 50 Cent, while The Game handed over $103,500 (£53,400).",16
Rapper 50 Cent ends protege feud,The Game also made a contribution to the Compton schools music programme.,12
Rapper 50 Cent ends protege feud,"50 Cent announced he has launched the G-Unity Foundation ""to help people overcome obstacles and make a chance for the better in their lives"".",23
Rapper 50 Cent ends protege feud,"""I realised that if I'm going to be effective at that, I have to overcome some of my own,"" he said.",21
Rapper 50 Cent ends protege feud,"""Game and I need to set an example in the community.""",11
Rapper 50 Cent ends protege feud,"50 Cent is no stranger to feuds, with rapper Ja Rule among the targets for ridicule in his songs.",18
Rapper 50 Cent ends protege feud,"On his latest album, released earlier this month, he turned his attentions to Fat Joe and Nas, who have both worked with Ja Rule.",24
Rapper 50 Cent ends protege feud,Both he and The Game have admitted drug dealing in the past and have both been shot.,17
Director Nair's Vanity project, Indian film director Mira Nair has said she was thrilled to be given the chance to make William Makepeace Thackeray's novel Vanity Fair - as the book has been a favourite through her life.,33
Director Nair's Vanity project,"The book is one of the classics of English literature - the story of scheming 19th Century social climber Becky Sharp, played in the film by Reese Witherspoon.",27
Director Nair's Vanity project,"Nair said that she jumped at the chance to work on the film, which she has - controversially - made in a Bollywood style, including two song-and-dance routines in the film's second half.",31
Director Nair's Vanity project,"""It was serendipity really - I was offered Vanity Fair by the studio Focus Features, who had distributed Monsoon Wedding,"" Nair told BBC World Service's Masterpiece programme.",26
Director Nair's Vanity project,"""They offered me their next-best thing, not realising that Vanity Fair had actually been one of my favourite novels since I was 16 years old in an Irish Catholic boarding school in India.""",32
Director Nair's Vanity project,Since her 1988 debut feature Salaam Bombay!,6
Director Nair's Vanity project,- nominated for the Best Foreign Language Oscar and winner of Best First Feature at Cannes - Nair has become one of India's most famous and respected directors.,26
Director Nair's Vanity project,"She is not restricted to Bollywood, however - she followed Salaam Bombay!",11
Director Nair's Vanity project,"with Mississippi Masala, starring Denzel Washington, and The Perez Family, her first Hollywood film.",14
Director Nair's Vanity project,"Her career peaked with Monsoon Wedding in 2001, which won the Golden Lion award at Venice.",15
Director Nair's Vanity project,"Nair's Indian-style adaptation of Vanity Fair, however, has been attacked by critics in the US - where it only reached number eight at the box office in its opening week - who described the Bollywood elements as ""jarring.""",36
Director Nair's Vanity project,"The film has a new ending, with Becky Sharp running off for a new life in India.",17
Director Nair's Vanity project,But Nair said that her film had picked up on the way Thackeray - who was born in India but moved to England as a young man - had seen the world.,30
Director Nair's Vanity project,"""First, when I was 16, it was Becky Sharp, who is a completely memorable character, because I recognised myself in her - I recognised all the ladies who did not want to be ladies, who wanted to buck the system that they were in,"" she said.",44
Director Nair's Vanity project,"""But it was the sort of novel I somehow kept at the side of my bed for many years, and I would dip into every now and then and suddenly get completely mesmerised again.",34
Director Nair's Vanity project,"""As I got older and read it, I think it was Thackeray's clarity - his clear-sightedness about his own society, the fact that he was born in India but came to England as a young man - that gave him the eyes of an outsider, and yet he was an insider.",49
Director Nair's Vanity project,"""That perspective was something I really loved.""",7
Director Nair's Vanity project,"Nair also defended her decision to cast an American actress - Reese Witherspoon - as Becky Sharp, despite the fact that all the rest of the cast are British or Irish.",29
Director Nair's Vanity project,"""I cast intuitively - in my films I cast as many non-actors as I cast actors,"" she said.",17
Director Nair's Vanity project,"""For me, it is intuition - I have to fall in love with an actor.",14
Director Nair's Vanity project,It is a visceral response.,5
Director Nair's Vanity project,"""Thackeray describes Becky Sharp as a minx.",7
Director Nair's Vanity project,"Also she's described as someone who's tiny, red-headed and thin.",10
Director Nair's Vanity project,"Reese had that completely minx-like irresistibility about her.""",8
Director Nair's Vanity project,"Having won the role because she seemed physically perfectly suited to the part, however, Witherspoon then became pregnant.",18
Director Nair's Vanity project,"But Nair said that, though this had created the need for some filming tricks, it had in fact also helped the film.",22
Director Nair's Vanity project,"""It was a self-fulfilling prophesy - when I first met her husband [actor Ryan Philippe], I said 'knock her up, won't you, I need some flesh on the girl',"" she joked.",30
Director Nair's Vanity project,"""I'm not a fan of the underfed Los Angeles actor at all.",12
Director Nair's Vanity project,"This was, for me, about Becky Sharp being, eventually, a full-blown woman through the course of the film.",18
Director Nair's Vanity project,"""I love the luminosity that pregnancy brings, I love the fleshiness, I love the ample bosom - it gave me much more to play with.""",24
Director Nair's Vanity project,"Nair explained how camera tricks had been used to disguise Witherspoon's ""bump"" in various scenes - including hiring a number of young boys in costumes to stand in front of her.",30
Director Nair's Vanity project,"""She runs, she gets off coal carts, she jumps off horses - she does everything,"" Nair said.",16
Director Nair's Vanity project,"""But there's also a certain carriage with horses that is going to wipe the screen at a certain moment, because of the bump.""",23
Fast lifts rise into record books, Two high-speed lifts at the world's tallest building have been officially recognised as the planet's fastest.,16
Fast lifts rise into record books,"The lifts take only 30 seconds to whisk passengers to the top of the 508m tall TFC 101 Tower in Taipei, Taiwan.",20
Fast lifts rise into record books,The Guinness Book of Records has declared the 17m per second speed of the two lifts the swiftest on Earth.,20
Fast lifts rise into record books,The lifts also have a pressure control system to stop passengers' ears popping as they ascend and descend at high speed.,21
Fast lifts rise into record books,"In total, the TFC Tower has 61 lifts, 34 of them double-deckers, and 50 escalators to shuttle people around its 106 floors.",18
Fast lifts rise into record books,The TFC 101 Tower is due to be officially opened on 31 December.,11
Fast lifts rise into record books,"The super-fast lifts can speed up to 24 passengers to the tip of the tower in about 30 seconds, while ascending their 382m track.",22
Fast lifts rise into record books,The 17m/s top speed of the lifts translates to about 38mph (61km/h).,12
Fast lifts rise into record books,Curiously the lifts take longer to descend and spend almost a whole minute returning to ground level from the top of the TFC Tower.,24
